figi,ticker,class_,name,exch,lot,mpi,currency,is_traded
BBG004S68CV8,VSMO,stock,ВСМПО-АВИСМА,moex_mrng_evng_e_wknd_dlr,1,20.0,rub,True
BBG000Q7ZZY2,UNAC,stock,Объединенная авиастроительная корпорация,moex_mrng_evng_e_wknd_dlr,1000,0.0005,rub,True
TCS00A10ANA1,CNRU,stock,Циан,moex_mrng_evng_e_wknd_dlr,1,0.2,rub,True
TCS00A106YF0,VKCO,stock,ВК,moex_mrng_evng_e_wknd_dlr,1,0.1,rub,True
TCS0418T1088,CIAN@US,stock,Циан АДР,unknown,1,0.01,usd,True
BBG004RVFCY3,MGNT,stock,Магнит,moex_mrng_evng_e_wknd_dlr,1,0.5,rub,True
TCS009124010,KZIZ,stock,Красногорский завод им. С.А. Зверева - ао,otc_ncc,1,0.01,rub,True
BBG0029SG1C1,KZOSP,stock,Казаньоргсинтез - акции привилегированные,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
TCS00A105EX7,WUSH,stock,Whoosh,moex_mrng_evng_e_wknd_dlr,1,0.01,rub,True
TCS00A0JPP37,UGLD,stock,Южуралзолото ГК,moex_morning_weekend,1000,0.0001,rub,True
BBG000SK7JS5,LNZL,stock,Лензолото,moex_mrng_evng_e_wknd_dlr,1,10.0,rub,True
BBG002458LF8,SELG,stock,Селигдар,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
TCS009086904,SLAV,stock,Славнефть,otc_ncc,1,0.01,rub,True
TCS00A0JNXF9,PRFN,stock,ЧЗПСН-Профнастил,moex_mrng_evng_e_wknd_dlr,100,0.002,rub,True
TCS00A105NV2,CARM,stock,КарМани,moex_mrng_evng_e_wknd_dlr,100,0.0005,rub,True
BBG008F2T3T2,RUAL,stock,РУСАЛ,moex_mrng_evng_e_wknd_dlr,10,0.005,rub,True
BBG00BGKYH17,NKHP,stock,НКХП,moex_mrng_evng_e_wknd_dlr,10,0.5,rub,True
TCS00A0F61T7,TGKJ,stock,Форвард Энерго,otc_ncc,1,0.01,rub,True
BBG004S68B31,ALRS,stock,АЛРОСА,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
TCS00A107ER5,DIAS,stock,Диасофт,moex_mrng_evng_e_wknd_dlr,1,0.5,rub,True
BBG004RVFFC0,TATN,stock,Татнефть,moex_mrng_evng_e_wknd_dlr,1,0.1,rub,True
BBG004S682Z6,RTKM,stock,Ростелеком,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
TCS30A108JF7,PRMD,stock,Промомед,moex_mrng_evng_e_wknd_dlr,1,0.05,rub,True
BBG000RG4ZQ4,TGKN,stock,ТГК-14,moex_mrng_evng_e_wknd_dlr,100000,1e-05,rub,True
BBG00475KHX6,TRNFP,stock,Транснефть - привилегированные акции,moex_mrng_evng_e_wknd_dlr,1,0.2,rub,True
BBG000QFB4J6,ZILLP,stock,ЗИЛ - акции привилегированные,otc_ncc,1,0.01,rub,True
TCS90A0JQUZ6,RAGR,stock,РусАгро,moex_mrng_evng_e_wknd_dlr,1,0.02,rub,True
BBG000RTHVK7,GCHE,stock,Группа Черкизово,moex_mrng_evng_e_wknd_dlr,1,1.0,rub,True
TCS90A0JVBT9,UWGN,stock,ОВК,moex_mrng_evng_e_wknd_dlr,1,0.02,rub,True
BBG004S681M2,SNGSP,stock,Сургутнефтегаз - привилегированные акции,moex_mrng_evng_e_wknd_dlr,10,0.005,rub,True
TCS40A10B5G8,FIXR,stock,"Публичное акционерное общество ""Фикс Прайс""",moex_mrng_evng_e_wknd_dlr,1000,0.0001,rub,True
BBG000GQSRR5,NKNC,stock,Нижнекамскнефтехим,moex_mrng_evng_e_wknd_dlr,10,0.05,rub,True
BBG000BX7DH0,VRSB,stock,ТНС энерго Воронеж,moex_mrng_evng_e_wknd_dlr,10,0.5,rub,True
TCS00A0JRH43,MBNK,stock,МТС-Банк,moex_mrng_evng_e_wknd_dlr,1,0.5,rub,True
BBG004730JJ5,MOEX,stock,Московская Биржа,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
TCS009084453,NOMP,stock,Новошип - ао,otc_ncc,1,0.01,rub,True
BBG000QCW561,VEON,stock,VEON,unknown,1,0.01,usd,True
BBG002B9T6Y1,KAZTP,stock,КуйбышевАзот - Акции привилегированные,moex_mrng_evng_e_wknd_dlr,10,0.5,rub,True
BBG0047315D0,SNGS,stock,Сургутнефтегаз,moex_mrng_evng_e_wknd_dlr,100,0.005,rub,True
BBG000Q7GJ60,TGKBP,stock,ТГК-2 - акции привилегированные,moex_mrng_evng_e_wknd_dlr,100000,1e-05,rub,True
BBG004S68BH6,PIKK,stock,ПИК,moex_mrng_evng_e_wknd_dlr,1,0.1,rub,True
BBG004731354,ROSN,stock,Роснефть,moex_mrng_evng_e_wknd_dlr,1,0.05,rub,True
TCS00A1002V2,EUTR,stock,ЕвроТранс,moex_mrng_evng_e_wknd_dlr,1,0.05,rub,True
BBG000VKG4R5,MRKU,stock,Россети Урал,moex_mrng_evng_e_wknd_dlr,10000,0.0002,rub,True
BBG000RMWQD4,ENPG,stock,Эн+,moex_mrng_evng_e_wknd_dlr,1,0.05,rub,True
TCS80A107UL4,T,stock,Т-Технологии,moex_mrng_evng_e_wknd_dlr,1,0.2,rub,True
TCS009102396,UFOSP,stock,Уфаоргсинтез - привилегированные акции,otc_ncc,1,0.01,rub,True
BBG000PKWCQ7,MRKV,stock,Россети Волга,moex_mrng_evng_e_wknd_dlr,10000,5e-05,rub,True
BBG000BBV4M5,CNTL,stock,Центральный Телеграф,moex_mrng_evng_e_wknd_dlr,100,0.02,rub,True
TCS10A108K09,VSEH,stock,ВИ.РУ,moex_mrng_evng_e_wknd_dlr,1,0.01,rub,True
BBG004S68JR8,SVAV,stock,СОЛЛЕРС,moex_mrng_evng_e_wknd_dlr,1,0.5,rub,True
BBG000LNHHJ9,KMAZ,stock,КАМАЗ,moex_mrng_evng_e_wknd_dlr,10,0.1,rub,True
BBG0029SFXB3,KZOS,stock,Казаньоргсинтез - акции обыкновенные,moex_mrng_evng_e_wknd_dlr,10,0.1,rub,True
BBG000F6YPH8,ELFV,stock,ЭЛ5-Энерго,moex_mrng_evng_e_wknd_dlr,1000,0.0002,rub,True
TCS20A107662,HEAD,stock,Хэдхантер,moex_mrng_evng_e_wknd_dlr,1,1.0,rub,True
TCS50A10C1L6,ETLN,stock,МКПАО Эталон Груп,moex_mrng_evng_e_wknd_dlr,1,0.02,rub,True
BBG00F6NKQX3,SMLT,stock,ГК Самолет,moex_mrng_evng_e_wknd_dlr,1,0.5,rub,True
BBG004730N88,SBER,stock,Сбер Банк,moex_mrng_evng_e_wknd_dlr,1,0.01,rub,True
TCS00A105BN4,GECO,stock,Генетико,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
BBG004730RP0,GAZP,stock,Газпром,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
BBG000QJW156,BSPB,stock,Банк Санкт-Петербург,moex_mrng_evng_e_wknd_dlr,10,0.01,rub,True
BBG000NLC9Z6,LSNG,stock,Россети Ленэнерго,moex_mrng_evng_e_wknd_dlr,100,0.01,rub,True
BBG00QKJSX05,RENI,stock,Ренессанс Страхование,moex_mrng_evng_e_wknd_dlr,10,0.02,rub,True
TCS00A103X66,POSI,stock,Группа Позитив,moex_mrng_evng_e_wknd_dlr,1,0.2,rub,True
BBG000NLB2G3,KROT,stock,Красный Октябрь,moex_mrng_evng_e_wknd_dlr,10,1.0,rub,True
BBG004S684M6,SIBN,stock,Газпром нефть,moex_mrng_evng_e_wknd_dlr,1,0.05,rub,True
BBG000DBD6F6,KLSB,stock,Калужская сбытовая компания,moex_mrng_evng_e_wknd_dlr,100,0.01,rub,True
BBG000RP8V70,CHMK,stock,ЧМК,moex_mrng_evng_e_wknd_dlr,1,5.0,rub,True
BBG000TJ6F42,MRKZ,stock,Россети Северо-Запад,moex_mrng_evng_e_wknd_dlr,10000,5e-05,rub,True
BBG000K3STR7,APTK,stock,"Аптечная сеть 36,6",moex_mrng_evng_e_wknd_dlr,10,0.002,rub,True
TCS0207L1061,HHR,stock,HeadHunter Group PLC,unknown,1,0.01,usd,True
BBG00475K2X9,HYDR,stock,РусГидро,moex_mrng_evng_e_wknd_dlr,1000,0.0001,rub,True
BBG000SR0YS4,LNZLP,stock,Лензолото - привилегированные акции,moex_mrng_evng_e_wknd_dlr,1,5.0,rub,True
BBG003LYCMB1,SFIN,stock,ЭсЭфАй,moex_mrng_evng_e_wknd_dlr,1,0.2,rub,True
BBG004S68696,RASP,stock,Распадская,moex_mrng_evng_e_wknd_dlr,10,0.05,rub,True
