,n_hits
RTGZ,143
GAZP,130
SMLT,116
SNGSP,116
SIBN,104
MDMG,102
DZRD,101
POSI,97
RUAL,92
NLMK,89
MOEX,87
GMKN,84
RTKM,83
SBER,80
MGNT,75
SBERP,72
AKRN,71
Индекс госуд,71
ALRS,71
AFLT,71
FLOT,69
TATN,68
ROSN,68
LENT,65
Золото в руб,64
MTSS,62
WUSH,61
BANEP,60
RNFT,59
SPBE,58
LSRG,56
SVAV,55
PHOR,55
T,55
ETLN,53
SFIN,52
MAGN,52
Палладий,52
RAGR,50
SGZH,47
EUTR,47
CNRU,47
PIKK,47
MTLR,46
AFKS,46
Tracker Fund,44
MVID,43
NVTK,42
CNY/RUB,41
Nasdaq 100,41
SNGS,40
BELU,40
CHMF,40
PLZL,40
LKOH,38
TATNP,37
EUR/RUB,36
TRNFP,36
HEAD,35
USD/RUB,35
Золото в дол,35
Платина,34
OZON,34
ASTR,33
UWGN,33
Индекс моско,32
iShares Core,32
SELG,31
RTSI мини,30
VKCO,30
Серебро,29
BSPB,27
BANE,27
SOFL,27
IMOEX,26
YDEX,25
DELI,25
ENPG,23
VSMO,23
AQUA,22
RTSI,21
IRAO,17
SPDR S&P 500,17
VTBR,16
TRMK,16
FEES,15
X5,14
CBOM,13
SVCB,11
DIAS,10
HYDR,6
PRMD,3
VSEH,3
DATA,2
MBNK,1
