ticker,class_code,n,avg_notional,avg_price,lot_size
AKRN,TQBR,39,7574.866415150454,17591.74358974359,1
ROSN,SPBFUT_CONT,35,8291.731369585053,70383.40832854225,1
AFKS,SPBFUT_CONT,34,7752.8436504649035,24714.1019095954,1
MOEX,SPBFUT_CONT,34,7636.546804853894,17747.727743171017,1
Tracker Fund,SPBFUT_CONT,34,7983.585628109616,24525.633734259864,1
Nasdaq 100,SPBFUT_CONT,33,9736.498535519655,16717.237704770992,1
EUR/RUB,SPBFUT_CONT,32,15156.747021113502,109294.17738600695,1
ALRS,SPBFUT_CONT,31,6014.664343373793,11978.252969385869,1
SNGSP,SPBFUT_CONT,30,7073.525652018664,57328.968895278755,1
NLMK,SPBFUT_CONT,29,6273.99614545755,24326.95600174337,1
USD/RUB,SPBFUT_CONT,28,12604.585865668781,114846.1561746014,1
MAGN,SPBFUT_CONT,28,8722.996154527353,63251.01294572744,1
VSMO,TQBR,26,7996.970953630957,34862.307692307695,1
GAZP,SPBFUT_CONT,24,7961.50651567617,26388.337893335553,1
TATN,SPBFUT_CONT,23,8935.100255044605,70284.64333529398,1
IRAO,SPBFUT_CONT,22,11571.371315238956,51104.01391085319,1
LKOH,SPBFUT_CONT,22,10738.526144910078,78779.99729511581,1
SNGS,SPBFUT_CONT,22,6971.3219576405945,42636.20567183793,1
SBER,SPBFUT_CONT,22,8290.988438686032,27980.417605417668,1
FEES,SPBFUT_CONT,22,7282.612615313066,17676.64530715666,1
MTSS,SPBFUT_CONT,22,7813.024830849923,29992.561531426138,1
RTGZ,TQBR,21,2814.0753923954553,33266.666666666664,1
iShares Core,SPBFUT_CONT,21,9256.912603149096,30015.963826866548,1
RTSI,SPBFUT_CONT,20,10918.685416841085,116340.54673120442,1
DZRD,TQBR,19,1982.7194339729003,4208.421052631579,1
RTKM,SPBFUT_CONT,19,5570.368964818541,9624.938110575204,1
HYDR,SPBFUT_CONT,17,7263.907957059679,11882.712539891378,1
IMOEX,SPBFUT_CONT,16,10867.738533096772,379128.1787022688,1
FLOT,SPBFUT_CONT,16,7153.073456574895,14334.211890977062,1
MGNT,SPBFUT_CONT,15,5420.54690632505,8161.259136809825,1
RUAL,SPBFUT_CONT,15,4117.780701394941,6678.759547857813,1
PHOR,TQBR,15,4551.488846200724,7039.0,1
Индекс госуд,SPBFUT_CONT,13,7083.754408782832,15774.657245134957,1
SMLT,SPBFUT_CONT,13,3359.5889625003047,5269.742380533012,1
SIBN,SPBFUT_CONT,13,5331.294583525711,8467.137047809183,1
SBERP,SPBFUT_CONT,12,8898.137904569361,27661.626232910363,1
AFLT,SPBFUT_CONT,12,4768.432548026568,6750.972350533593,1
MGNT,TQBR,11,4638.899445946392,5859.454545454545,1
WUSH,SPBFUT_CONT,8,2601.1633200823594,3530.1169576716948,1
CBOM,SPBFUT_CONT,8,4858.980227483173,9634.747460533745,1
SMLT,TQBR,7,3190.293748713763,3720.9714285714285,1
HEAD,TQBR,7,2478.4616753477385,3667.285714285714,1
POSI,SPBFUT_CONT,5,3062.879782366111,3664.8971891665547,1
LKOH,TQBR,5,4407.681232124782,5946.9,1
BELU,TQBR,5,3626.4516898148736,4711.0,1
Золото в руб,SPBFUT_CONT,4,8523.02461182126,10408.847377992734,1
OZON,TQBR,4,3105.2307549886955,3972.875,1
DIAS,TQBR,3,3905.844985897788,4901.5,1
BSPB,TQBR,3,2109.2392763487765,290.54333333333335,10
VKCO,SPBFUT_CONT,2,4463.699104109727,9163.14527353075,1
TRMK,TQBR,1,2239.900080466252,266.6,10
TRNFP,TQBR,1,1202.7648209995684,1435.0,1
SVAV,TQBR,1,801.4926704970434,1087.5,1
MTSS,TQBR,1,1773.9773365815056,346.0,10
MOEX,TQBR,1,2119.471557435597,244.83,10
MDMG,TQBR,1,752.2925556727472,1000.0,1
YDEX,TQBR,1,2348.8275331969776,2762.5,1
BANE,TQBR,1,1854.5384065394876,2421.5,1
Индекс моско,SPBFUT_CONT,1,4350.089517680826,5002.680006028601,1
Палладий,SPBFUT_CONT,1,2274.962644576078,3198.4924956896593,1
