ticker,class_code,side,notional,entry_price,lot_size
HYDR,SPBFUT_CONT,short,2699.8312078019576,10678.98731044787,1
SMLT,SPBFUT_CONT,short,1163.6316337148774,3666.2795707319297,1
NLMK,SPBFUT_CONT,short,2207.9341317365293,12992.314502111862,1
SBER,SPBFUT_CONT,short,3331.4924114671003,14825.726963092246,1
AFLT,SPBFUT_CONT,short,3183.9147286821626,3787.337272747246,1
ROSN,SPBFUT_CONT,short,3061.2834224598937,39892.16021949611,1
IMOEX,SPBFUT_CONT,short,4928.059975520214,298967.30848530773,1
RTSI,SPBFUT_CONT,short,3266.595092024525,107914.34178348488,1
MOEX,SPBFUT_CONT,short,4569.6850393699215,9084.683899907315,1
MGNT,SPBFUT_CONT,short,3990.504807692298,6599.20580629923,1
RUAL,SPBFUT_CONT,short,2493.012640449441,6082.640798459489,1
SNGS,SPBFUT_CONT,short,3234.1337001154216,35924.45928110073,1
ALRS,SPBFUT_CONT,long,2344.974016749928,12742.867293217556,1
RUAL,SPBFUT_CONT,short,2584.1215035763294,6275.14081781328,1
ROSN,SPBFUT_CONT,short,3499.208004926459,40279.960016200675,1
MTSS,SPBFUT_CONT,short,4962.769855466315,23191.90376847396,1
TATN,SPBFUT_CONT,short,7235.26168067558,49329.67782728933,1
EUR/RUB,SPBFUT_CONT,short,4482.409656144502,73779.34145843622,1
USD/RUB,SPBFUT_CONT,short,4930.758869505451,85342.21609345189,1
EUR/RUB,SPBFUT_CONT,short,4483.436514882495,73787.10797741497,1
USD/RUB,SPBFUT_CONT,short,4118.521602431554,87324.37855809553,1
RUAL,SPBFUT_CONT,short,1744.3302564971375,6213.972587364411,1
EUR/RUB,SPBFUT_CONT,short,6184.791265474982,73846.65128958537,1
SBER,SPBFUT_CONT,short,3641.1479387025,14676.011941939572,1
IMOEX,SPBFUT_CONT,short,5585.603507173189,304931.8407839454,1
SMLT,SPBFUT_CONT,short,2711.2532009077236,3924.46827289615,1
Индекс госуд,SPBFUT_CONT,short,5653.225502307057,16836.613087636943,1
Nasdaq 100,SPBFUT_CONT,short,5584.806424049755,12176.391045998986,1
LKOH,SPBFUT_CONT,long,3878.4432353118355,46213.36431110838,1
EUR/RUB,SPBFUT_CONT,short,9899.849565094233,74259.57121528874,1
ALRS,SPBFUT_CONT,short,6533.914568331601,12430.285207734692,1
ALRS,SPBFUT_CONT,short,5491.136658237618,12503.283419314525,1
RUAL,SPBFUT_CONT,short,3383.2955603182145,6296.729605030527,1
MGNT,SPBFUT_CONT,long,4303.989732512189,7300.449687044499,1
ALRS,SPBFUT_CONT,short,4800.738677433611,12570.666383849752,1
Nasdaq 100,SPBFUT_CONT,long,4664.451665787551,12457.654078429485,1
