ticker,tf,rsi,vol,pattern
AFLT,H4,41.15,2.25,Hammer
SGZH,H4,33.69,1.83,Hammer
SZZ5,H4,35.45,1.96,Hammer
OGKB,H4,50.05,1.55,Hammer
AFLT,H4,42.18,2.32,Hammer
SGZH,H4,36.33,2.03,Hammer
SZZ5,H4,36.68,2.19,Hammer
BSZ5,H4,38.99,1.65,Hammer
OGKB,H4,48.97,1.7,Hammer
AFLT,H4,42.05,2.39,Hammer
SGZH,H4,38.76,2.16,Hammer
SZZ5,H4,37.87,2.24,Hammer
BSZ5,H4,40.66,1.82,Hammer
MGNT,H4,41.18,1.78,Hammer
OGKB,H4,50.05,1.75,Hammer
AFLT,H4,43.67,2.56,Hammer
SGZH,H4,38.76,2.26,Hammer
SCH6,H4,55.03,1.79,Hammer
SZZ5,H4,37.28,2.27,Hammer
BSZ5,H4,40.66,1.82,Hammer
MGNT,H4,43.16,1.93,Hammer
AFKS,H4,44.22,1.54,Hammer
IRAO,H4,54.14,2.14,Hammer
AFLT,H4,46.02,2.78,Hammer
MTLR,H4,50.29,1.53,Hammer
SZZ5,H4,38.44,2.34,Hammer
BSZ5,H4,40.98,1.87,Hammer
BBZ5,H4,58.24,1.63,Hammer
MGNT,H4,42.28,2.14,Hammer
RUAL,H4,46.96,2.2,Hammer
GAZP,H4,44.89,1.62,Hammer
POSI,H4,47.26,1.68,Hammer
HYDR,H4,56.46,1.58,Hammer
AFKS,H4,43.03,1.66,Hammer
FLOT,H4,47.32,2.11,Hammer
NVTK,H4,49.97,1.59,Hammer
AFLT,H4,45.16,2.94,Hammer
MTLR,H4,49.5,1.66,Hammer
SGZH,H4,37.97,2.58,Hammer
SZZ5,H4,37.28,2.36,Hammer
BSZ5,H4,40.98,1.87,Hammer
MGNT,H4,45.18,2.26,Hammer
RUAL,H4,45.67,2.27,Hammer
VSEH,H4,41.99,3.52,Hammer
AFKS,H4,42.88,1.72,Hammer
FLOT,H4,47.53,2.18,Hammer
IRAO,H4,54.14,2.58,Hammer
NVTK,H4,49.22,1.68,Hammer
AFLT,H4,44.45,2.97,Hammer
MTLR,H4,49.5,1.68,Hammer
SGZH,H4,38.76,2.64,Hammer
