figi,ticker,name,avg_volume,atr_percent,asset_class,class_code
TCS00A106YF0,VKCO,ВК,2076194,2.55,share,TQBR
TCS00A0JPP37,UGLD,Южуралзолото ГК,527524,2.23,share,TQBR
TCS90A0JQUZ6,RAGR,РусАгро,1322067,3.1,share,TQBR
TCS90A0JVBT9,UWGN,ОВК,5501867,3.52,share,TQBR
BBG000RMWQD4,ENPG,Эн+,423789,3.21,share,TQBR
TCS50A10C1L6,ETLN,МКПАО Эталон Груп,368020,2.6,share,TQBR
TCS60A0JQ9P9,SPBE,СПБ Биржа,1549953,4.01,share,TQBR
TCS00A10CRQ4,GLRX,ПАО Глоракс,1817656,3.09,share,TQBR
TCS00A108GD8,IVAT,IVA Technologies,5085120,5.76,share,TQBR
BBG00F9XX7H4,RNFT,РуссНефть,2830960,3.29,share,TQBR
TCS00A107J11,DELI,Делимобиль,204680,3.06,share,TQBR
FUTGOLD12250,GDZ5,GOLD-12.25 Золото,310035,2.02,future,SPBFUT
FUTASTR12250,ASZ5,ASTR-12.25 Группа Астра,24332,2.21,future,SPBFUT
FUTCOFFE1125,KCX5,COFFEE-11.25 Кофе,85350,2.63,future,SPBFUT
FUTRTKM12250,RTZ5,RTKM-12.25 Ростелеком,3474,2.38,future,SPBFUT
FUTPLZLM1225,PXZ5,PLZLM-12.25 Полюс Золото,6086,2.87,future,SPBFUT
FUTYDEX12250,YDZ5,YDEX-12.25 Яндекс,58639,2.79,future,SPBFUT
FUTSIBN12250,SOZ5,SIBN-12.25 Газпром нефть,2218,2.24,future,SPBFUT
FUTSMLT12250,SSZ5,SMLT-12.25 Самолет,46429,2.16,future,SPBFUT
FUTBANE12250,BNZ5,BANE-12.25 Башнефть,4456,3.82,future,SPBFUT
FUTCOCOA0326,CCH6,COCOA-3.26 Какао,5087,3.15,future,SPBFUT
FUTSPBE12250,SEZ5,SPBE-12.25 СПБ Биржа,28415,3.51,future,SPBFUT
FUTMTLR12250,MCZ5,MTLR-12.25 Мечел,8304,5.47,future,SPBFUT
FUTLKOH12250,LKZ5,LKOH-12.25 Лукойл,18698,2.24,future,SPBFUT
FUTGL0326000,GLH6,GL-3.26 Золото (rub),2113,2.05,future,SPBFUT
FUTWUSH12250,WUZ5,WUSH-12.25 Whoosh,333989,7.5,future,SPBFUT
FUTSILV12250,SVZ5,SILV-12.25 Серебро,436451,2.16,future,SPBFUT
FUTRNFT12250,RUZ5,RNFT-12.25 РуссНефть,9745,2.66,future,SPBFUT
FUTGMKN12250,GKZ5,GMKN-12.25 Норильский никель,146362,2.06,future,SPBFUT
FUTETHA03260,ETH6,ETHA-3.26 Ethereum ETF,4991,5.22,future,SPBFUT
FUTNG1225000,NGZ5,NG-12.25 Природный газ,61624,3.14,future,SPBFUT
FUTLEAS12250,LEZ5,LEAS-12.25 Европлан,9212,2.3,future,SPBFUT
FUTSOFL12250,S0Z5,SOFL-12.25 Софтлайн,6750,2.05,future,SPBFUT
FUTCNY032600,CRH6,CNY-3.26 Курс Юань - Рубль,107854,2.42,future,SPBFUT
FUTBAIDU1225,BDZ5,BAIDU-12.25 Baidu,5587,2.79,future,SPBFUT
FUTCOCOA1225,CCZ5,COCOA-12.25 Какао,133326,3.63,future,SPBFUT
FUTMVID12250,MVZ5,MVID-12.25 М.видео,25061,3.41,future,SPBFUT
FUTTTF112500,FFX5,TTF-11.25 Природный газ Датч ТТФ,19286,3.08,future,SPBFUT
FUTPIKK12250,PIZ5,PIKK-12.25 ПИК,17311,3.36,future,SPBFUT
FUTNGM012600,NRF6,NGM-1.26 Природный газ (микро),9762,3.37,future,SPBFUT
FUTSGZH12250,SZZ5,SGZH-12.25 Сегежа,14676,2.81,future,SPBFUT
FUTETHA12250,ETZ5,ETHA-12.25 Ethereum ETF,112179,4.98,future,SPBFUT
FUTPOSI12250,PSZ5,POSI-12.25 Positive Technologies,8658,2.84,future,SPBFUT
FUTWUSH03260,WUH6,WUSH-3.26 Whoosh,8068,7.0,future,SPBFUT
FUTGL1225000,GLZ5,GL-12.25 Золото (rub),208886,2.15,future,SPBFUT
FUTGLDRUBF00,GLDRUBF,GLDRUBF Золото (rub),682237,2.19,future,SPBFUT
FUTROSN12250,RNZ5,ROSN-12.25 Роснефть,5784,2.58,future,SPBFUT
FUTRUAL12250,RLZ5,RUAL-12.25 РУСАЛ,9805,2.23,future,SPBFUT
FUTCOFFE0226,KCG6,COFFEE-2.26 Кофе,3551,2.36,future,SPBFUT
FUTIBIT12250,IBZ5,IBIT-12.25 Bitcoin ETF,113752,3.16,future,SPBFUT
FUTCNY122500,CRZ5,CNY-12.25 Курс Юань - Рубль,6583492,2.56,future,SPBFUT
FUTNG1125000,NGX5,NG-11.25 Природный газ,1266870,3.72,future,SPBFUT
FUTRASP12250,RAZ5,RASP-12.25 Распадская,2670,3.4,future,SPBFUT
FUTNGM022600,NRG6,NGM-2.26 Природный газ (микро),2322,2.48,future,SPBFUT
FUTNGM112500,NRX5,NGM-11.25 Природный газ (микро),987842,3.65,future,SPBFUT
FUTRTS122500,RIZ5,RTS-12.25 Индекс РТС,61983,2.07,future,SPBFUT
FUTCOPPE1225,CEZ5,COPPER-12.25 Медь,25028,2.13,future,SPBFUT
FUTNGM122500,NRZ5,NGM-12.25 Природный газ (микро),86902,3.29,future,SPBFUT
FUTPLD122500,PDZ5,PLD-12.25 Палладий,44393,2.8,future,SPBFUT
FUTIBIT03260,IBH6,IBIT-3.26 Bitcoin ETF,5080,2.83,future,SPBFUT
FUTALIBA1225,BBZ5,ALIBABA-12.25 Alibaba,7446,2.8,future,SPBFUT
FUTSFIN12250,SHZ5,SFIN-12.25 ЭсЭфАй,3816,2.51,future,SPBFUT
FUTMIX122500,MXZ5,MIX-12.25 Индекс МосБиржи,154392,2.03,future,SPBFUT
FUTRTSM12250,RMZ5,RTSM-12.25 Индекс РТС (мини),16590,2.07,future,SPBFUT
FUTSILV03260,SVH6,SILV-3.26 Серебро,8817,2.02,future,SPBFUT
FUTMGNT12250,MNZ5,MGNT-12.25 Магнит,31335,3.07,future,SPBFUT
FUTVKCO12250,VKZ5,VKCO-12.25 ВК,11166,2.47,future,SPBFUT
FUTPLT122500,PTZ5,PLT-12.25 Платина,47522,2.53,future,SPBFUT
